id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
43791192,Toronto Beautiful and quiet Suite near Albion mall,350060415,Tobby,,West Humber-Clairville,43.73956,-79.59472,Private room,71,1,3,2020-09-04,0.54,2,365
43791597,Beautiful Suit BY Albion mall,350060415,Tobby,,West Humber-Clairville,43.74114,-79.59616,Private room,71,1,0,,,2,1
43791976,Rare Corner Unit - 3 Bdrm + 3 bath - Free Parking,126845802,Angel,,Waterfront Communities-The Island,43.64018,-79.39693,Entire home/apt,799,1,0,,,2,365
43800362,Stunning Kensington Market 2 Storey 2 Bdrm Apt,350163167,Paul,,Kensington-Chinatown,43.65712,-79.40442,Entire home/apt,200,1,0,,,3,0
43800499,University Plaza Furnished Condos,40120407,Toronto,,Waterfront Communities-The Island,43.64868,-79.3868,Entire home/apt,95,28,0,,,3,362
43801070,Trendy 1Br Walk-In in the heart of Kensington,350163167,Paul,,Kensington-Chinatown,43.65654,-79.40384,Entire home/apt,150,1,0,,,3,0
43801206,★★★★High-Rise 1bed Prime Location & Amazing View!~,211526817,Golsana,,Waterfront Communities-The Island,43.64227,-79.38337,Entire home/apt,103,12,1,2020-11-04,0.75,39,79
43802832,Clean and bright downtown living,101634996,Wassim,,Dovercourt-Wallace Emerson-Junction,43.66832,-79.42092,Entire home/apt,46,29,1,2020-08-31,0.29,1,73
43803219,Cabbagetown on the Park,49045748,Lawrence,,Cabbagetown-South St.James Town,43.66614,-79.36098,Entire home/apt,100,2,6,2020-10-18,1.07,1,165
43803676,Private Large Basement Room Near Mimico GO!,38195238,Marcel,,Mimico (includes Humber Bay Shores),43.62263,-79.50127,Private room,36,28,3,2020-08-13,0.54,6,0
43806498,COZY ROOM IN A HOUSE+SUBWAY,123770607,Kian,,Briar Hill-Belgravia,43.69891,-79.44155,Private room,25,3,0,,,3,0
43807638,ICE Condos: Luxurious Bright and Sunny 1 Br Condo,247017110,Rajat,,Waterfront Communities-The Island,43.64071,-79.3812,Entire home/apt,113,29,4,2020-10-17,0.84,2,313
43814080,Basement apartment leslieville,3156238,Geoff,,South Riverdale,43.66984,-79.33341,Entire home/apt,128,5,0,,,1,1
43817090,A Beautiful Detached House In little Italy,254569147,Marco,,Palmerston-Little Italy,43.65661,-79.42746,Entire home/apt,250,7,0,,,6,252
43818600,Clean and Roomy Basement,46747438,Enrico M,,Yorkdale-Glen Park,43.70661,-79.4612,Entire home/apt,75,30,0,,,1,214
43819509,A beautiful place you  will love.,350395519,Jimmy,,Downsview-Roding-CFB,43.73133,-79.52166,Entire home/apt,95,3,9,2020-11-23,2.37,1,78
43820948,"Private Room, Private Balcony, Private Bathroom",128932982,Ali,,Church-Yonge Corridor,43.65719,-79.37478,Private room,100,1,0,,,1,0
43825788,Elegant Downtown Condo on York Street,339842916,Olu,,Waterfront Communities-The Island,43.64065,-79.38243,Entire home/apt,89,28,0,,,19,363
43830674,From $124USD Luscious 1 bed Space steps to Park,164543821,Silvano / Susan,,High Park-Swansea,43.64449,-79.45397,Private room,170,3,4,2020-11-16,0.95,11,354
43830883,Basement Bedroom with Private Bathroom,153549877,Soulmaz,,Black Creek,43.76501,-79.51309,Private room,60,1,2,2020-10-01,0.44,1,355
43831241,Sleek 1BR + Study in the Entertainment District,135718015,Ak,,Waterfront Communities-The Island,43.64845,-79.38915,Entire home/apt,151,28,0,,,38,268
43832543,Charming Studio in the Heart of the Annex,18942204,Todd,,Annex,43.66949,-79.4047,Entire home/apt,50,1,26,2020-12-06,4.56,13,260
43832796,Summer Special | Luxury Lakefront Suite | 8 Guests,142861399,Shilpa,,Mimico (includes Humber Bay Shores),43.62401,-79.47898,Entire home/apt,289,31,4,2020-08-31,0.85,3,365
43834364,Cozy 2 Br 1 Bath Bsmt Apt Steps to Kennedy Subway,291888008,Shaista,,Ionview,43.73688,-79.2665,Entire home/apt,90,2,0,,,8,130
43834584,"Comfort Home Toronto
Queen bed room2",333078272,Anping,,Dorset Park,43.75374,-79.28616,Private room,95,1,1,2020-07-07,0.19,4,90
43834838,BRAND NEW STUDIO CONDO STEPS FROM EATON CENTER,136504281,Austin,,Moss Park,43.65831,-79.37362,Entire home/apt,101,1,49,2020-12-06,8.96,1,174
43834859,"Stylish, clean & newly renovated 2 bdrm  apartment",59404375,Jane,,Pleasant View,43.79613,-79.34095,Entire home/apt,146,2,2,2020-09-11,0.48,2,1
43835161,Eastside Garden Oasis,35128894,ANGnBILL,,Kennedy Park,43.72523,-79.26734,Entire home/apt,102,14,1,2020-08-10,0.24,2,0
43835218,Basement apartment separate door,282783029,Goretti,,Rouge,43.81007,-79.18149,Entire home/apt,70,3,1,2020-07-31,0.22,1,0
43835651,"Yorkville Condo Toronto Parking, Netflix, Disney+",350602850,Linda,,Annex,43.67032,-79.39434,Entire home/apt,200,28,1,2020-10-31,0.68,1,249
43835894,LARGE Private Bedroom Downtown -St Patrick Station,25480699,Joseph,,Kensington-Chinatown,43.65496,-79.39271,Private room,39,1,14,2020-11-11,2.69,12,32
43836072,Single room available in Scarborough,141360071,Shrmila,,Highland Creek,43.79661,-79.1862,Private room,30,1,0,,,3,0
43836171,Luxury condo with outdoor pool on Yonge subway,53079610,Lisa,,Willowdale East,43.76059,-79.40913,Private room,150,1,0,,,2,89
43836311,Luxury Condo One Bed at Don Mills Subway Station,322484823,Lis,,Henry Farm,43.77342,-79.34488,Entire home/apt,113,3,15,2020-11-28,2.71,1,86
43842085,Beautiful Studio with Killer CN Tower View!,5845598,Marie,,Waterfront Communities-The Island,43.64382,-79.38089,Entire home/apt,110,1,35,2020-12-02,6.07,5,120
43842177,RM@Yonge and Finch Subway station w\free parking,328990662,Lien,,Willowdale West,43.77756,-79.42083,Private room,40,1,2,2020-08-28,0.40,3,225
